Lookback,Band,TP,SL,Return_Pct,Trade_Count
20,0.03,0.07,-0.05,5.62,1
20,0.03,0.07,-0.07,5.62,1
20,0.03,0.05,-0.05,4.15,1
20,0.03,0.05,-0.07,4.15,1
20,0.03,0.07,-0.03,2.16,2
20,0.03,0.05,-0.03,0.73,2
30,0.03,0.05,-0.07,0.0,0
30,0.03,0.05,-0.05,0.0,0
40,0.03,0.15,-0.07,0.0,0
40,0.03,0.15,-0.05,0.0,0
40,0.03,0.1,-0.07,0.0,0
40,0.03,0.07,-0.05,0.0,0
40,0.03,0.07,-0.07,0.0,0
40,0.03,0.1,-0.05,0.0,0
40,0.02,0.07,-0.05,0.0,0
40,0.02,0.1,-0.05,0.0,0
30,0.02,0.1,-0.07,0.0,0
30,0.02,0.15,-0.05,0.0,0
30,0.02,0.15,-0.07,0.0,0
30,0.02,0.1,-0.05,0.0,0
30,0.02,0.07,-0.05,0.0,0
30,0.02,0.07,-0.07,0.0,0
30,0.02,0.05,-0.07,0.0,0
30,0.02,0.05,-0.05,0.0,0
40,0.02,0.1,-0.07,0.0,0
40,0.02,0.15,-0.05,0.0,0
40,0.02,0.15,-0.07,0.0,0
40,0.03,0.05,-0.05,0.0,0
40,0.03,0.05,-0.07,0.0,0
40,0.02,0.07,-0.07,0.0,0
30,0.03,0.07,-0.07,0.0,0
30,0.03,0.07,-0.05,0.0,0
40,0.02,0.05,-0.05,0.0,0
40,0.02,0.05,-0.07,0.0,0
30,0.03,0.15,-0.05,0.0,0
30,0.03,0.15,-0.07,0.0,0
30,0.03,0.1,-0.07,0.0,0
30,0.03,0.1,-0.05,0.0,0
20,0.03,0.1,-0.07,-1.06,1
20,0.03,0.1,-0.05,-1.06,1
20,0.02,0.07,-0.05,-3.07,1
20,0.02,0.07,-0.07,-3.07,1
40,0.02,0.1,-0.03,-3.28,1
40,0.02,0.07,-0.03,-3.28,1
40,0.03,0.07,-0.03,-3.28,1
40,0.03,0.05,-0.03,-3.28,1
40,0.02,0.05,-0.03,-3.28,1
40,0.02,0.15,-0.03,-3.28,1
30,0.03,0.07,-0.03,-3.28,1
30,0.03,0.05,-0.03,-3.28,1
30,0.02,0.15,-0.03,-3.28,1
30,0.02,0.1,-0.03,-3.28,1
30,0.02,0.07,-0.03,-3.28,1
30,0.02,0.05,-0.03,-3.28,1
30,0.03,0.1,-0.03,-3.28,1
30,0.03,0.15,-0.03,-3.28,1
40,0.03,0.1,-0.03,-3.28,1
40,0.03,0.15,-0.03,-3.28,1
20,0.02,0.05,-0.07,-3.94,1
20,0.02,0.05,-0.05,-3.94,1
20,0.03,0.1,-0.03,-4.31,2
20,0.02,0.1,-0.03,-6.57,2
20,0.02,0.05,-0.03,-6.57,2
20,0.02,0.07,-0.03,-6.57,2
20,0.02,0.15,-0.03,-6.57,2
20,0.03,0.15,-0.07,-7.78,1
20,0.03,0.15,-0.05,-7.78,1
20,0.02,0.1,-0.05,-10.47,1
20,0.02,0.15,-0.07,-10.47,1
20,0.02,0.15,-0.05,-10.47,1
20,0.02,0.1,-0.07,-10.47,1
20,0.03,0.15,-0.03,-10.8,2
